Shivaya
Maheshvaraya
Shambhave
Pinakine
Shashishekharaya
Vamadevaya
Virupakshaya
Kapardine
Nilalohitaya
Shankaraya
Shulapanaye
Khatvangine
Vishnuvallabhaya
Shipivishtaya
Ambikanathaya
Shrikantaya
Bhaktavatsalaya
Bhavaya
Sarvaya
Trilokeshaya
Shitakanthaya
Shivapriyaya
Ugraya
Kapaline
Kamaraye
Andhakasura Sudanaya
Gangadharaya
Lalatakshaya
Kalakalaya
Kripanidhaye
Bhimaya
Parashu Hastaya
Mrigapanayae
Jatadharaya
Kailasavasine
Kavachine
Kathoraya
Tripurantakaya
Vrishankaya
Vrishabharudhaya
Bhasmoddhulita Vigrahay
Samapriyaya
Svaramayaya
Trayimurtaye
Anishvaraya
Sarvagyaya
Paramatmane
Somasuragni Lochanaya
Havishe
Yagyamayaya
Somaya
Panchavaktraya
Sadashivaya
Vishveshvaraya
Virabhadraya
Gananathaya
Prajapataye
Hiranyaretase
Durdharshaya
Girishaya
Girishaya
Anaghaya
Bujangabhushanaya
Bhargaya
Giridhanvane
Giripriyaya
Krittivasase
Purarataye
Bhagavate
Pramathadhipaya
Mritunjayaya
Sukshmatanave
Jagadvyapine
Jagadgurave
Vyomakeshaya
Mahasenajanakaya
Charuvikramaya
Rudraya
Bhutapataye
Sthanave
Ahirbudhnyaya
Digambaraya
Ashtamurtaye
Anekatmane
Satvikaya
Shuddha Vigrahaya
Shashvataya
Khandaparashave
Ajaya
Papavimochakaya
Mridaya
Pashupataye
Devaya
Mahadevaya
Avyayaya
Haraye
Pashudantabhide
Avyagraya
Dakshadhvaraharaya
Haraya
Bhaganetrabhide
Avyaktaya
Sahasrakshaya
Sahasrapade
Apavargapradaya
Anantaya
Tarakaya
Parameshvaraya
